TS Bret
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jun 28 22:00   95.70   19.90   35    1004
   2005 Jun 29 00:00   95.80   19.90   40    1002
   2005 Jun 29 03:00   95.90   20.00   40    1005
   2005 Jun 29 06:00   96.40   20.40   40    1005
   2005 Jun 29 09:00   96.70   20.60   40    1005
   2005 Jun 29 12:00   97.40   20.80   40    1005
   2005 Jun 29 15:00   97.60   21.00   35    1007
   2005 Jun 29 21:00   98.60   21.80   30    1007
   2005 Jun 30 03:00   98.50   22.30   30    1008
